ID;collection;kingdom;phylum;class;order;family;genus;host;compartment
LjRoot235;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot236;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot237;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot238;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot239;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Neorhizobium;Lotus japonicus;Root
LjRoot24;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;;Lotus japonicus;Root
LjRoot240;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Neorhizobium;Lotus japonicus;Root
LjRoot241;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot242;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces;Lotus japonicus;Root
LjRoot243;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Lotus japonicus;Root
LjRoot244;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium;Lotus japonicus;Root
LjRoot245;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot246;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;Lotus japonicus;Root
LjRoot247;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot248;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot249;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Lotus japonicus;Root
LjRoot25;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Lotus japonicus;Root
LjRoot250;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot251;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot252;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot253;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot254;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot255;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot256;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Lotus japonicus;Root
LjRoot257;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;Lotus japonicus;Root
LjRoot258;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot259;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;Lotus japonicus;Root
LjRoot26;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax;Lotus japonicus;Root
LjRoot260;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot261;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot262;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Lotus japonicus;Root
LjRoot263;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot264;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot265;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot266;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot267;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot268;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot269;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot27;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;;Lotus japonicus;Root
LjRoot270;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot271;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot272;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot273;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot274;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot275;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot276;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot277;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot278;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot279;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot28;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Rhizobacter;Lotus japonicus;Root
LjRoot280;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;Lotus japonicus;Root
LjRoot281;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot282;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Lotus japonicus;Root
LjRoot283;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Lotus japonicus;Root
LjRoot284;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Lotus japonicus;Root
LjRoot285;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot286;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot287;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella;Lotus japonicus;Root
LjRoot288;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot289;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Lotus japonicus;Root
LjRoot29;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot290;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot291;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot293;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter;Lotus japonicus;Root
LjRoot294;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot295;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;Lotus japonicus;Root
LjRoot296;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Lotus japonicus;Root
LjRoot297;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Lotus japonicus;Root
LjRoot298;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Lotus japonicus;Root
LjRoot299;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot3;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Lotus japonicus;Root
LjRoot30;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot300;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Lotus japonicus;Root
LjRoot301;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Lotus japonicus;Root
LjRoot302;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot303;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces;Lotus japonicus;Root
LjRoot304;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces;Lotus japonicus;Root
LjRoot305;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot306;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;Lotus japonicus;Root
LjRoot307;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces;Lotus japonicus;Root
LjRoot31;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot32;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Lotus japonicus;Root
LjRoot33;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Lotus japonicus;Root
LjRoot34;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Lotus japonicus;Root
LjRoot35;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Lotus japonicus;Root
LjRoot36;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;Lotus japonicus;Root
LjRoot37;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot38;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot39;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax;Lotus japonicus;Root
LjRoot4;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot40;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax;Lotus japonicus;Root
LjRoot41;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax;Lotus japonicus;Root
LjRoot42;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Lotus japonicus;Root
LjRoot43;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot44;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Lotus japonicus;Root
LjRoot45;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Lotus japonicus;Root
LjRoot46;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Shinella;Lotus japonicus;Root
LjRoot47;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;;Lotus japonicus;Root
LjRoot48;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;;Lotus japonicus;Root
LjRoot49;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;;Lotus japonicus;Root
LjRoot5;LjSPHERE;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Lotus japonicus;Root
LjRoot50;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Shinella;Lotus japonicus;Root
LjRoot51;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Shinella;Lotus japonicus;Root
LjRoot52;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot53;LjSPHERE;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Lotus japonicus;Root
LjRoot54;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot55;LjSPHERE;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Lotus japonicus;Root
LjRoot56;LjSPHERE;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Lotus japonicus;Root
LjRoot57;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Lotus japonicus;Root
LjRoot58;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Rhizobacter;Lotus japonicus;Root
LjRoot59;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot6;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot60;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot61;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot62;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot63;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot64;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot65;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot66;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot67;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot68;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot69;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot7;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Aminobacter;Lotus japonicus;Root
LjRoot70;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella;Lotus japonicus;Root
LjRoot71;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot72;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot73;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot74;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot75;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot76;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot77;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Lotus japonicus;Root
LjRoot78;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Lotus japonicus;Root
LjRoot79;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot8;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;Lotus japonicus;Root
LjRoot80;LjSPHERE;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Lotus japonicus;Root
LjRoot81;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot82;LjSPHERE;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Lotus japonicus;Root
LjRoot83;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot84;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot85;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root
LjRoot86;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot87;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot88;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot89;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Lotus japonicus;Root
LjRoot9;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot90;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;Lotus japonicus;Root
LjRoot91;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella;Lotus japonicus;Root
LjRoot92;LjSPHERE;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Lotus japonicus;Root
LjRoot93;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot94;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot95;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot96;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Lotus japonicus;Root
LjRoot97;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Lotus japonicus;Root
LjRoot98;LjSPHERE;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Lotus japonicus;Root
LjRoot99;LjSPHERE;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Lotus japonicus;Root