Name;Population
Gifu;North
MG001;South
MG002;South
MG003;South
MG004;South
MG005;North
MG006;NA
MG007;North
MG008;South
MG009;North
MG010;North
MG011;North
MG012;North
MG013;North
MG014;North
MG015;NA
MG016;North
MG017;NA
MG018;North
MG019;North
MG020;South
MG021;North
MG022;South
MG023;North
MG024;South
MG025;South
MG026;North
MG027;South
MG028;NA
MG029;NA
MG030;North
MG032;North
MG033;North
MG034;North
MG035;North
MG036;North
MG038;North
MG039;North
MG040;North
MG041;North
MG042;North
MG044;North
MG045;North
MG046;North
MG048;NA
MG049;South
MG050;South
MG051;North
MG052;South
MG053;South
MG055;NA
MG056;South
MG057;South
MG058;South
MG059;South
MG060;South
MG061;South
MG062;South
MG063;South
MG064;South
MG065;South
MG066;South
MG067;South
MG068;South
MG069;South
MG070;South
MG071;South
MG072;North
MG073;South
MG074;South
MG075;South
MG076;North
MG077;North
MG078;North
MG079;North
MG080;North
MG081;North
MG082;North
MG083;North
MG084;North
MG085;North
MG086;North
MG088;North
MG089;North
MG090;North
MG091;North
MG092;North
MG093;North
MG094;North
MG095;North
MG096;North
MG097;North
MG098;North
MG099;North
MG100;North
MG101;North
MG102;North
MG103;North
MG104;South
MG105;South
MG106;South
MG107;South
MG109;North
MG110;South
MG111;South
MG112;South
MG113;North
MG115;South
MG116;North
MG117;North
MG118;North
MG119;North
MG120;North
MG121;North
MG122;NA
MG123;North
MG124;North
MG125;North
MG126;North
MG127;North
MG128;North
MG129;North
MG130;South
MG131;South
MG132;South
MG133;South
MG134;South
MG135;South
MG136;South
MG137;South
MG138;South
MG139;South
MG140;South
MG141;South
MG142;South
MG143;South
MG144;South
MG145;South
MG146;NA
MG148;NA
MG149;South
MG150;South
MG151;South
MG152;NA
MG154;South
MG155;NA
MG156;South
MG162;South
MG163;South
MG170;South
MG172;South
MG176;South
MG187;South
MG188;North
MG196;North
MG198;North
MG201;North
MG202;North
MG203;North
MG204;North
MG205;North
MG206;North
MG207;South
MG209;South
MG221;South
MG222;South
MG225;South