,State_ROOMIE1,lat,lon
Gifu_,Ref_Ref,35.7166667,137.2666667
MG001,Ref_Ref,32.720278,133.0175
MG002,Ref_Ref,42.571944,143.503056
MG003,Ref_Ref,35.398333,139.516389
MG004,Ref_Ref,31.436111,130.313611
MG005,Ref_Ref,35.302222,139.266944
MG007,Ref_Ref,39.315556,141.337778
MG008,Ref_Ref,35.018333,135.5575
MG009,Ref_Ref,39.926667,139.743611
MG010,Ref_Alt,39.324444,141.484722
MG011,Ref_Alt,39.327222,140.808889
MG012,Ref_Ref,35.256944,139.597222
MG013,Ref_Ref,35.21,139.605556
MG014,Ref_Ref,35.21,139.605556
MG016,Ref_Ref,35.135278,139.676389
MG018,Ref_Ref,35.133056,138.958889
MG019,Ref_Ref,35.133056,138.958889
MG020,Ref_Ref,24.720055,125.467329
MG021,Ref_Ref,41.460556,140.093333
MG022,Ref_Ref,31.191667,130.5625
MG023,Ref_Ref,40.823611,140.761944
MG024,Ref_Ref,24.7193,125.469222
MG025,Ref_Ref,30.328889,130.65
MG026,Ref_Alt,35.696389,139.758056
MG027,Ref_Ref,26.401944,127.736111
MG030,Ref_Ref,42.8475,143.172778
MG032,Ref_Ref,42.546389,143.476944
MG033,Ref_Ref,42.546389,143.476944
MG034,Ref_Ref,42.614167,143.548333
MG035,Ref_Ref,42.445556,141.160556
MG036,Ref_Ref,42.409444,140.305833
MG038,Ref_Ref,42.108056,140.571667
MG039,Ref_Ref,40.929886,141.018889
MG040,Ref_Ref,40.586944,141.249167
MG041,Ref_Alt,39.755556,140.161667
MG042,Ref_Ref,39.745278,140.707778
MG044,Ref_Ref,38.386667,141.388333
MG045,Ref_Ref,37.588611,139.915
MG046,Ref_Ref,37.5875,139.914167
MG049,Ref_Ref,35.636667,134.618889
MG050,Ref_Ref,35.501667,133.731667
MG051,Ref_Ref,35.503278,133.854167
MG052,Ref_Ref,35.387167,132.788889
MG053,Ref_Ref,34.650833,131.826389
MG056,Ref_Ref,31.580833,131.416111
MG057,Ref_Ref,31.7002,131.4595
MG058,Ref_Ref,31.699722,131.482222
MG059,Ref_Ref,31.699722,131.482222
MG060,Ref_Ref,31.253889,130.293333
MG061,Ref_Ref,31.374444,130.988333
MG062,Ref_Ref,NA,NA
MG063,Ref_Ref,31.739722,131.470833
MG064,Ref_Ref,31.829444,131.415278
MG065,Ref_Ref,31.829444,131.415278
MG066,Ref_Ref,32.131667,131.409444
MG067,Ref_Ref,30.773611,131.008611
MG068,Ref_Ref,30.234167,130.556111
MG069,Ref_Ref,34.587222,135.5075
MG070,Ref_Ref,33.874167,135.228056
MG071,Ref_Ref,32.945833,131.098611
MG072,Ref_Ref,32.851667,131.053056
MG073,Ref_Ref,33.037222,131.266944
MG074,Ref_Ref,33.394722,132.535278
MG075,Ref_Ref,33.338611,132.543889
MG076,Ref_Ref,34.263333,131.591111
MG077,Ref_Ref,35.119167,138.6625
MG078,Ref_Ref,35.895833,136.723056
MG079,Ref_Ref,36.220278,136.141389
MG080,Ref_Ref,36.649444,137.190556
MG081,Ref_Ref,37.035278,137.85
MG082,Ref_Ref,37.760556,139.208611
MG083,Alt_Ref,36.543889,138.363333
MG084,Ref_Ref,37.6025,139.650278
MG085,Ref_Ref,37.153889,140.413611
MG086,Ref_Ref,38.760833,140.759722
MG088,Ref_Ref,36.651944,139.977222
MG089,Ref_Ref,39.763056,141.140833
MG090,Ref_Ref,43.004444,141.4325
MG091,Alt_Ref,41.895556,140.639167
MG092,Alt_Ref,44.145,143.936111
MG093,Ref_Ref,42.033611,140.670278
MG094,Ref_Ref,42.418611,140.903056
MG095,Ref_Ref,42.475278,141.220278
MG096,Ref_Ref,42.602778,141.502778
MG097,Ref_Ref,42.449722,140.3314
MG098,Ref_Ref,41.920833,140.728056
MG099,Ref_Ref,41.756944,140.723
MG100,Ref_Ref,42.221,140.388
MG101,Ref_Ref,42.003056,140.650833
MG102,Alt_Ref,45.296111,141.031667
MG103,Alt_Ref,42.993611,143.197778
MG104,Ref_Ref,32.083889,131.412222
MG105,Ref_Ref,32.118056,131.417222
MG106,Ref_Ref,32.094722,131.379444
MG107,Ref_Ref,34.817778,135.522222
MG109,Ref_Ref,39.705833,141.114167
MG110,Ref_Ref,32.827778,131.133611
MG111,Ref_Ref,32.86,131.000833
MG112,Ref_Ref,32.912016,131.197901
MG113,Ref_Ref,32.863056,131.155
MG115,Ref_Ref,35.325076,136.637038
MG116,Ref_Ref,35.9,136.653333
MG117,Ref_Ref,36.061389,136.500556
MG118,Ref_Alt,35.974722,136.129722
MG119,Ref_Alt,37.376922,138.809037
MG120,Alt_Ref,36.987778,138.577222
MG121,Ref_Ref,36.851667,138.366111
MG123,Ref_Alt,36.05209,138.270828
MG124,Alt_Ref,35.995556,138.159444
MG125,Alt_Ref,37.514167,139.920833
MG126,Ref_Ref,37.125833,140.210833
MG127,Ref_Ref,38.531389,141.222222
MG128,Alt_Ref,36.783333,140.128056
MG129,Ref_Ref,39.545278,140.369444
MG130,Alt_Ref,35.418056,136.406389
MG131,Alt_Ref,34.58,135.62
MG132,Ref_Ref,28.183056,129.372778
MG133,Ref_Ref,31.612778,131.433889
MG134,Ref_Ref,31.498333,131.384167
MG135,Ref_Ref,31.473056,131.365833
MG136,Ref_Ref,31.458611,131.356389
MG137,Ref_Ref,31.4475,131.370556
MG138,Ref_Ref,31.425833,131.354444
MG139,Ref_Ref,31.820833,131.420556
MG140,Ref_Ref,31.851944,131.399444
MG141,Ref_Ref,31.951111,131.308056
MG142,Ref_Ref,31.644722,131.431111
MG143,Ref_Ref,31.645278,131.466667
MG144,Ref_Ref,31.644722,131.466111
MG145,Ref_Ref,31.626944,131.4575
MG149,Ref_Ref,34.103374,129.167497
MG150,Ref_Ref,34.1072,129.172541
MG151,Ref_Ref,34.107931,129.21022
MG154,Ref_Ref,34.664955,129.490247
MG156,Ref_Ref,34.683473,129.471921
MG162,Ref_Ref,32.792673,128.806625
MG163,Ref_Ref,32.770342,128.683514
MG170,Ref_Ref,32.618399,128.631639
MG172,Ref_Ref,32.653851,128.801236
MG176,Ref_Ref,32.654588,128.892542
MG187,Ref_Ref,33.216911,129.048278
MG188,Alt_Ref,42.01556,143.26475
MG196,Alt_Ref,40.675601,140.940986
MG198,Alt_Ref,40.50946,141.610132
MG201,Alt_Ref,40.510985,141.610529
MG202,Alt_Alt,35.057694,140.074047
MG203,Alt_Alt,35.057828,140.07221
MG204,Alt_Ref,34.900414,139.888255
MG205,Ref_Alt,35.285451,140.084599
MG206,Ref_Alt,38.657289,140.874038
MG207,Alt_Ref,35.145722,136.660309
MG209,Ref_Ref,33.397553,129.435963
MG221,Ref_Ref,33.417554,129.42362
MG222,Ref_Ref,33.372453,129.432488
MG225,Ref_Ref,33.529169,129.951404
